Company Name,Rating,Good Reviews,Bad Reviews,Salaries
Embibe,3.4,,"Job Security, Promotions / Appraisal, Company Culture",2.6k
Embibe,3.4,,"Job Security, Promotions / Appraisal, Company Culture",2.6k
Kurlon,4.3,"Work Life Balance, Company Culture, Work Satisfaction",,2.1k
Asb International,3.6,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Satisfaction, Company Culture",2.7k
Infor Global Solution,3.9,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",6.6k
NSB Bpo Solutions,2.9,,"Promotions / Appraisal, Salary & Benefits, Job Security",1.7k
Toppr,3.4,,"Job Security, Promotions / Appraisal, Work Life Balance",3.2k
Cotiviti,3.6,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",4.4k
Csc E Governance Services,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",1.7k
North East Small Finance Bank,3.5,,"Promotions / Appraisal, Job Security, Company Culture",1.9k
Micro Turners,3.8,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",2.2k
Titan Eye Plus,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,1.4k
LEAP India Limited,4.6,"Salary & Benefits, Company Culture, Work Life Balance",,1.2k
Bayer Crop Science Vegetable Seeds,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,930
Trianz,3.4,,"Job Security, Promotions / Appraisal, Company Culture",4.7k
Vindhya Telelinks,4.0,"Salary & Benefits, Work Life Balance","Promotions / Appraisal, Skill Development / Learning",2.1k
Moglix,3.3,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.6k
Doosan Power Systems,4.3,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,2.5k
Tredence,3.4,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",6.2k
Radico Khaitan,4.0,"Job Security, Company Culture, Work Life Balance",,2k
TTK Prestige,3.8,Job Security,"Promotions / Appraisal, Work Satisfaction",2.5k
Patel Engineering,4.1,"Job Security, Work Life Balance, Work Satisfaction",,2.3k
Wolters Kluwer,3.8,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning",4.9k
Orient Cement,4.4,"Work Life Balance, Company Culture, Work Satisfaction",,2.4k
Central Bank of India,3.9,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,1.5k
Flash Electronics,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.5k
Caparo Engineering India,4.0,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,2.5k
Office Beacon,4.6,"Company Culture, Job Security, Skill Development / Learning",,864
KreditBee,3.5,,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.5k
IHG,3.5,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",2.7k
Wuerth,3.5,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.3k
Ness Digital Engineering,3.4,,"Promotions / Appraisal, Job Security, Company Culture",5.6k
Testbook.com,3.3,,"Job Security, Promotions / Appraisal, Work Life Balance",4.4k
Bisk Farm,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,1.6k
Cohesity,3.9,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Job Security",5.1k
Kaar Tech,4.4,"Job Security, Skill Development / Learning, Company Culture",,2k
Solv,3.5,Salary & Benefits,"Job Security, Promotions / Appraisal, Company Culture",1.7k
Medtronic,3.9,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,4.5k
Writer Corporation,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.1k
VRL Logistics,3.7,,"Promotions / Appraisal, Job Security, Work Satisfaction",1.6k
PrimEra Medical Technologies,3.6,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction",3.6k
VRL Logistics,3.7,,"Promotions / Appraisal, Job Security, Work Satisfaction",1.6k
CtrlS,3.6,Salary & Benefits,"Company Culture, Work Life Balance, Work Satisfaction",3.1k
Government of India,4.2,"Job Security, Work Life Balance, Work Satisfaction",,3.8k
Vizag Steel,4.0,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,1.7k
Neeyamo Enterprise Solutions,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",4k
Livpure,3.9,,Promotions / Appraisal,2.2k
Autoliv,4.0,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal,2.7k
Jubilant Ingrevia,3.8,Job Security,Promotions / Appraisal,2.9k
ReSource Pro,3.8,,,3.3k
TVS Electronics,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",2.2k
Leverage Edu,4.1,"Salary & Benefits, Company Culture, Work Satisfaction",,1.7k
PPG Asian Paints,3.9,"Job Security, Salary & Benefits","Promotions / Appraisal, Work Satisfaction",2.8k
ChannelPlay,3.8,"Company Culture, Work Life Balance",Promotions / Appraisal,1.9k
Emami Agrotech,3.9,"Work Life Balance, Job Security",Promotions / Appraisal,2.5k
Snapdeal,3.8,"Company Culture, Work Life Balance","Promotions / Appraisal, Job Security, Salary & Benefits",2.8k
BASF,4.2,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,2.4k
Nephroplus,3.8,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",3k
JSW Energy,4.1,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,3.5k
Nomura Holdings,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",6.8k
Blue Yonder,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",7.2k
Rane NSK Steering Systems,4.0,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,2k
DAV Public School,4.0,"Skill Development / Learning, Company Culture, Salary & Benefits",Promotions / Appraisal,1.3k
Surya Roshni,4.1,"Work Life Balance, Job Security, Company Culture",,2.2k
Quess IT Staffing Solutions,3.1,,"Promotions / Appraisal, Work Satisfaction, Job Security",1.6k
Orient Technologies,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.9k
NextComm Corporation,4.8,"Work Life Balance, Company Culture, Work Satisfaction",,36
Dodla Dairy,4.2,"Job Security, Company Culture, Work Life Balance",,1.9k
YOKOGAWA,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",3.7k
Bridgestone - Global Capability Center,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,2.7k
Dhanuka Agritech,3.7,,"Promotions / Appraisal, Work Satisfaction",1.8k
L&T Power,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance",3.5k
Future Supply Chain Solutions,4.4,"Company Culture, Work Satisfaction, Skill Development / Learning",,2.2k
SG Analytics,2.6,,"Promotions / Appraisal, Work Satisfaction, Job Security",3.4k
Redington,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3k
EPL Limited,3.8,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1.8k
Lohia Corp,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2.5k
Lionbridge Technologies,3.6,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",3.8k
Shalby Hospitals,4.2,"Skill Development / Learning, Work Life Balance, Company Culture",,2.1k
Quislex Legal Services,4.0,"Company Culture, Work Life Balance, Work Satisfaction",,1.8k
R.S. Infraprojects,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1.6k
Capco Technologies,3.7,Work Life Balance,"Promotions / Appraisal, Job Security",4.9k
TransUnion,3.6,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning",6k
Kutumbh Care,4.0,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal,1.6k
Housing.com,3.6,Salary & Benefits,"Promotions / Appraisal, Job Security, Work Satisfaction",2.9k
MPS Limited,3.5,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",2.9k
Kissht Finance,3.9,"Salary & Benefits, Work Life Balance",,2k
Triveni Engineering & Industries,4.1,"Job Security, Work Life Balance, Salary & Benefits",,2.4k
Osource Global,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",2.7k
Mahindra Integrated Business Solutions,3.4,,"Promotions / Appraisal, Work Satisfaction, Job Security",2.5k
Progressive Infovision,3.9,Work Life Balance,Promotions / Appraisal,1.1k
Corteva Agriscience,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,2.6k
Technotask Business Solutions,3.6,,"Promotions / Appraisal, Salary & Benefits, Job Security",2k
Vasudha Pharma Chem,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,2.3k
Saint Gobain Glass,3.8,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1.9k
Qatar Airways,3.5,Salary & Benefits,"Promotions / Appraisal, Company Culture, Work Life Balance",2k
Cogoport,3.2,,"Job Security, Company Culture, Promotions / Appraisal",1.8k
Videocon d2h,3.8,"Skill Development / Learning, Company Culture, Work Life Balance",,1.2k
Tejas Networks,3.7,,"Promotions / Appraisal, Salary & Benefits",3.8k
Ingram Micro,3.6,,"Promotions / Appraisal, Work Satisfaction, Job Security",3.3k
Neurealm,3.4,,"Promotions / Appraisal, Job Security, Work Satisfaction",5.4k
Omaxe,4.1,"Work Life Balance, Salary & Benefits, Company Culture",,2.1k
Epicenter Technologies,3.4,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",2.3k
Licious,3.6,,"Promotions / Appraisal, Job Security, Salary & Benefits",2.9k
Optimum Infosystem,3.3,,"Job Security, Promotions / Appraisal, Skill Development / Learning",3.4k
PeopleStrong,3.4,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",3.2k
Wissen Infotech,3.6,,"Promotions / Appraisal, Job Security, Skill Development / Learning",4.7k
Elite Elevators,4.1,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",,957
Indorama,3.9,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,2.2k
SMC Global Securities,3.4,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.5k
Healthians,4.1,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,1.9k
Celebi Aviation Holding,4.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,1.1k
JoulestoWatts Business Solutions,3.5,,"Promotions / Appraisal, Job Security, Company Culture",3.2k
PCBL Chemical Limited,3.9,"Salary & Benefits, Job Security, Skill Development / Learning",,2.6k
Sandvik Asia,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,1.6k
Welspun World,3.6,,"Promotions / Appraisal, Company Culture, Work Life Balance",2.5k
HCL Healthcare,4.6,"Company Culture, Work Life Balance, Work Satisfaction",,945
BankBazaar,3.3,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.9k
CJ Darcl Logistics Limited,3.9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,1.9k
Marlabs,3.5,,"Promotions / Appraisal, Job Security, Salary & Benefits",5.1k
TIAA Global Business Services,3.8,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",5k
CSC,3.6,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",4.4k
Krsnaa Diagnostics,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.6k
Sintex BAPL,3.6,Salary & Benefits,"Job Security, Promotions / Appraisal, Company Culture",2.4k
Magic Edtech,3.6,,"Promotions / Appraisal, Job Security, Salary & Benefits",3.6k
TCI Express,3.9,"Job Security, Work Life Balance, Skill Development / Learning",,1.8k
DeHaat,3.6,,"Job Security, Promotions / Appraisal",2k
My Home Industries,4.0,"Work Life Balance, Company Culture, Job Security",,2.3k
Data Entry,4.3,"Company Culture, Work Satisfaction, Skill Development / Learning",,2k
Magic Bus India Foundation,3.8,,"Promotions / Appraisal, Job Security",1.7k
Yatra,3.2,,"Promotions / Appraisal, Skill Development / Learning, Company Culture",3k
Uno Mindarika,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,2k
Nihilent,3.2,,"Promotions / Appraisal, Job Security, Company Culture",5k
Quality Austria Central Asia,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",1.8k
Fiat India Automobiles,3.6,,"Promotions / Appraisal, Company Culture, Work Life Balance",2.3k
Tata Power Delhi Distribution,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",2.8k
Forbes Marshall,3.9,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,2.7k
Shivalik Small Finance Bank,3.8,Skill Development / Learning,Promotions / Appraisal,1.7k
Centaur Pharmaceuticals,3.5,,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.8k
Times Group,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",4.7k
Talentpro,3.8,Work Life Balance,Promotions / Appraisal,2.3k
Alshaya Group,3.8,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning",2.3k
Narayana e-Techno School,3.6,,"Promotions / Appraisal, Company Culture, Work Life Balance",1.9k
Pennar Industries,3.4,,"Promotions / Appraisal, Salary & Benefits, Company Culture",3k
NICE,3.5,,"Promotions / Appraisal, Work Satisfaction, Job Security",4.4k
Carrier,3.7,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",4.5k
The Lalit,3.5,,"Promotions / Appraisal, Job Security, Salary & Benefits",1.6k
Inspirisys Solution,3.7,,"Promotions / Appraisal, Salary & Benefits",3.7k
ANAROCK Property Consultants,3.6,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",3k
Encore Capital Group,3.9,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",2.2k
ICA Edu Skills,3.8,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Job Security, Salary & Benefits",1.4k
Ramboll,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,3.2k
bp,3.7,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",3.9k
Welspun Corp,4.0,"Skill Development / Learning, Company Culture",Promotions / Appraisal,2k
Khazana Jewellery,3.9,Skill Development / Learning,Promotions / Appraisal,1.7k
GKN,3.8,Work Life Balance,Promotions / Appraisal,2.3k
Corporate Infotech,3.7,,"Promotions / Appraisal, Salary & Benefits",2.2k
Continental,3.6,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction",3.6k
Philips Innovation Campus,3.7,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning",4.5k
Mount Litera Zee School,3.7,,"Promotions / Appraisal, Job Security, Salary & Benefits",1.5k
3M,4.0,"Company Culture, Work Life Balance, Salary & Benefits","Promotions / Appraisal, Job Security",3.2k
Impetus Technologies,3.4,,"Work Satisfaction, Promotions / Appraisal, Company Culture",6.1k
Surin Automotive,3.8,"Salary & Benefits, Job Security, Skill Development / Learning",,2k
Ferrero,3.9,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal,2.1k
3M,4.0,"Company Culture, Work Life Balance, Salary & Benefits","Promotions / Appraisal, Job Security",3.2k
NRB Bearings,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,2k
Vikram Solar,3.6,,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.2k
Hetero Healthcare,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.3k
Electrotherm,4.2,"Job Security, Work Life Balance, Company Culture",,2.8k
B.L. Kashyap & Sons,3.8,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",1.7k
Crowne Plaza,4.1,"Job Security, Company Culture, Skill Development / Learning",,1.3k
NoBrokerHood,2.8,,"Job Security, Work Satisfaction, Company Culture",2.1k
Gainwell Commosales,4.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,2.3k
InternEzy,4.9,"Company Culture, Work Life Balance, Work Satisfaction",,5
RealPage,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",4k
Ebixcash Global Services,3.2,,"Promotions / Appraisal, Salary & Benefits, Job Security",2.1k
Me n Moms,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",,1.1k
Geojit Financial Services,3.3,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",2.2k
TDS Lithium-Ion Battery,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",,2.1k
Karvy Stock Broking,3.6,,"Promotions / Appraisal, Work Life Balance, Company Culture",1.6k
Suroj Buildcon,4.1,"Job Security, Company Culture, Skill Development / Learning",,1.6k
ExportersIndia,4.9,"Company Culture, Work Life Balance, Work Satisfaction",,130
MAQ Software,3.3,,"Company Culture, Work Life Balance, Work Satisfaction",3.8k
Varthana,4.0,"Company Culture, Work Life Balance, Salary & Benefits",,1.4k
Turbo Energy,4.2,"Work Satisfaction, Skill Development / Learning, Company Culture",Promotions / Appraisal,2k
NetConnectGlobal,3.1,,"Promotions / Appraisal, Job Security, Skill Development / Learning",2.6k
TVS Eurogrip,3.7,,"Promotions / Appraisal, Company Culture, Job Security",2.1k
Danfoss Industries,3.9,"Work Life Balance, Company Culture",Promotions / Appraisal,3.3k
Tecnimont,3.9,"Job Security, Salary & Benefits",Promotions / Appraisal,2.7k
Manjushree Technopack,3.5,,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.8k
Finova Capital,3.8,Salary & Benefits,,1.5k
Avalon Technologies,3.8,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",3.4k
Trigent Software,3.4,,"Promotions / Appraisal, Job Security, Work Satisfaction",3.9k
Global Healthcare Billing Partners,3.4,,"Company Culture, Promotions / Appraisal, Work Satisfaction",3.6k
UKB Electronics Limited,3.6,,"Job Security, Company Culture, Work Satisfaction",2.3k
Varun Motors,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",2.1k
South Indian Bank,3.3,"Salary & Benefits, Job Security","Work Life Balance, Work Satisfaction, Company Culture",3.1k
Reliance Jewels,3.8,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1.4k
Revolut,2.6,Salary & Benefits,"Job Security, Work Satisfaction, Company Culture",2.7k
National Stock Exchange of India,3.6,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",4.4k
Suraksha Diagnostic,3.7,Skill Development / Learning,Promotions / Appraisal,1.6k
BDO RISE Private Limited,3.6,,"Promotions / Appraisal, Salary & Benefits",2.7k
Careon Healthcare Solutions,3.9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,2.8k
Airports Authority of India,4.2,"Work Life Balance, Work Satisfaction, Job Security",,1.8k
Collegedunia,3.0,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.4k
Sapphire Foods India,3.8,Skill Development / Learning,,2k
Shivam Autotech,3.6,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",2.3k
Sir H. N. Reliance Foundation Hospital and Research,4.3,"Job Security, Skill Development / Learning, Salary & Benefits",,1.1k
ACKO,3.5,,"Promotions / Appraisal, Work Satisfaction, Job Security",3k
Pyramid IT Consulting,3.1,,"Promotions / Appraisal, Job Security, Work Satisfaction",2.8k
Annalect,3.4,,"Promotions / Appraisal, Job Security, Work Satisfaction",4.2k
Kajaria Ceramics,3.9,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning",2k
Kaizen IT Services,3.9,"Work Life Balance, Company Culture",Promotions / Appraisal,1.3k
Hitachi Systems Micro Clinic,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,2.7k
Okaya Power,3.7,,Promotions / Appraisal,2.2k
Emids Technologies Limited,3.6,,"Job Security, Promotions / Appraisal, Work Satisfaction",5.1k
Netmeds.com,3.8,Work Life Balance,"Promotions / Appraisal, Job Security",2.3k
Suma Soft,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.1k
Dr. Batras' Positive Health Clinic,3.8,,"Promotions / Appraisal, Salary & Benefits",1.1k
IDBI Intech Limited,3.2,,"Promotions / Appraisal, Salary & Benefits, Company Culture",3k
Monte Carlo,4.2,"Work Life Balance, Salary & Benefits, Company Culture",,2.4k
Aster Dm Healthcare,3.7,,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.9k
Chaitanya India Fin Credit,4.0,"Company Culture, Skill Development / Learning, Work Life Balance",,1.5k
Nucleus Software Exports,3.4,Job Security,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",4.3k
Shriram Automall,4.0,"Work Life Balance, Job Security, Company Culture",,1.3k
Maharashtra Seamless,3.5,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",2.2k
ThoughtWorks,3.9,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,6.8k
Sigma Engineered Solutions,3.9,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,2.4k
CSM Technologies,4.0,"Work Life Balance, Job Security",,2.1k
EaseMyTrip.com,4.1,"Work Life Balance, Company Culture, Work Satisfaction",,1.4k
Sasken,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",4.2k
Central Reserve Police Force,4.6,"Job Security, Salary & Benefits, Company Culture",,1.3k
Wissen Technology,3.8,,Promotions / Appraisal,5k
Becton Dickinson,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,3.3k
SOLAR INDUSTRIES INDIA,3.7,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.9k
Sintex Industries,3.9,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal,2k
InsuranceDekho,3.5,,"Promotions / Appraisal, Job Security, Work Life Balance",2.1k
IRB Infrastructure,3.9,Work Life Balance,Promotions / Appraisal,1.4k
Gestamp,3.6,,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.1k
Medcode,3.9,"Skill Development / Learning, Company Culture, Work Satisfaction",,347
MothersonSumi INfotech & Designs,3.4,Job Security,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",3.6k
Hamilton Housewares,3.9,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,2.6k
Ongc Petro Additions,4.0,"Job Security, Work Life Balance, Work Satisfaction",,3.3k
Sl Lumax,3.4,,"Work Life Balance, Promotions / Appraisal, Company Culture",2.4k
HDFC Asset Management Company,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,2.5k
Super Smelters,3.7,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",2.1k
Royal Caribbean International,4.2,"Salary & Benefits, Company Culture, Skill Development / Learning",,727
Mavenir Systems,3.3,,"Promotions / Appraisal, Job Security, Company Culture",3.6k
Holiday Inn,4.0,"Job Security, Skill Development / Learning",,1.4k
Fiem Industries,3.6,Salary & Benefits,"Job Security, Company Culture, Work Life Balance",2.6k
Vedanta Limited,3.7,Salary & Benefits,"Promotions / Appraisal, Company Culture, Work Life Balance",2.7k
Dhani Services,3.7,,"Job Security, Promotions / Appraisal, Skill Development / Learning",1.2k
Cyfuture,3.0,,"Promotions / Appraisal, Salary & Benefits, Company Culture",2.7k
Serum Institute of India,4.1,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,3.2k
Carnival Cruise Lines,4.2,"Company Culture, Work Life Balance, Work Satisfaction",,691
Agrostar,4.0,"Company Culture, Skill Development / Learning",Job Security,1.5k
Finastra,3.7,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Job Security",4.5k
Einfochips,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.8k
ITC Limited Foods Division,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",2k
Family Health Plan,3.7,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",2k
Royaloak Incorporation,3.7,,"Job Security, Company Culture, Work Satisfaction",1.5k
Belstar Microfinance,4.0,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,1.5k
ShareChat,3.6,Salary & Benefits,"Job Security, Promotions / Appraisal, Work Satisfaction",2.6k
Jain Irrigation Systems,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",1.9k
Sapiens,3.1,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",5.3k
BT E Serv,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2.6k
Polaris Consulting,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,2.8k
Action Tesa,3.8,Job Security,Promotions / Appraisal,1.3k
Schwing Stetter,3.9,Job Security,Promotions / Appraisal,2.5k
Godrej Industries,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,2.9k
Kirloskar Ferrous Industries,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",2.1k
Columbia Asia,4.6,"Company Culture, Skill Development / Learning, Work Life Balance",,1.4k
Sudarshan Chemical Industries,3.9,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal,2.7k
BrightCHAMPS,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",,1.1k
Cashify,3.8,Work Life Balance,"Job Security, Promotions / Appraisal",2.5k
Renovision Automation Services,3.3,,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.8k
Grab A Grub Services,3.9,Work Life Balance,"Promotions / Appraisal, Job Security",1.8k
Sanghi Industries,4.0,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",2.2k
Motilal Oswal Wealth Management,4.4,"Skill Development / Learning, Company Culture, Work Satisfaction",,387
BMC Software,4.0,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Job Security",3.8k
Mrs Bector's Food Specialities,3.9,,Promotions / Appraisal,1.8k
Ugam Solution,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.5k
Nspira Management Services,3.7,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",2.5k
Blackrock,3.5,,"Promotions / Appraisal, Work Satisfaction, Company Culture",6.9k
VDA Infosolutions,3.8,Job Security,Promotions / Appraisal,1.9k
Rocket India,4.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",3.5k
Jubilant Agri and Consumer Products,4.0,"Salary & Benefits, Work Life Balance, Job Security",Promotions / Appraisal,1.9k
Toyoda Gosei Minda,4.2,"Job Security, Work Life Balance, Company Culture",,1.8k
Finolex Industries,3.6,,"Promotions / Appraisal, Skill Development / Learning, Company Culture",2.3k
Jayaswal Neco Industries,4.0,"Job Security, Work Life Balance, Skill Development / Learning",,2k
Blackberrys,3.7,,"Job Security, Promotions / Appraisal",1.8k
Bridge & Roof Co,3.5,,"Promotions / Appraisal, Company Culture, Work Life Balance",2.5k
DHL Global Forwarding,3.9,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,3.1k
DealShare,3.6,,"Job Security, Promotions / Appraisal, Company Culture",2.5k
Hpl Electric & Power,3.7,,"Promotions / Appraisal, Company Culture, Skill Development / Learning",2.2k
Myk Laticrete,3.9,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,2.1k
IKEA,4.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2.1k
CSG International,3.5,,"Promotions / Appraisal, Job Security, Skill Development / Learning",4.1k
Kellogg,4.2,"Company Culture, Work Life Balance, Job Security",,2.2k
United Colors of Benetton,4.3,"Company Culture, Salary & Benefits, Work Life Balance",,1.3k
Medley Pharmaceuticals,3.9,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",1.8k
Heidelberg Cement,4.1,"Work Life Balance, Job Security, Company Culture",,1.9k
AVTEC,3.5,,"Promotions / Appraisal, Job Security, Salary & Benefits",2.1k
Saudi Aramco,4.5,"Work Life Balance, Salary & Benefits, Company Culture",,1.4k
